commande_id,client_id,produit_id,date_commande,quantite,remise_pct,canal_vente,mode_paiement,statut_commande,note_client,commentaire_client,created_at,updated_at,devise,prix_unitaire_commande
CMD00768,C0017,P019,2025-10-13,1,0.0,Site web,Carte bancaire,Livrée,5.0,Emballage léger,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,134.37
CMD00584,C0035,P071,2025-04-26,8,5.0,Site web,PayPal,Livrée,3.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,58.71
CMD00268,C0073,P058,2025-04-10,2,5.0,Site web,PayPal,Livrée,2.0,Emballage léger,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,101.23
CMD00021,C0122,P018,2025-10-30,1,0.0,Boutique,Carte bancaire,Livrée,5.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,99.97
CMD00678,C0125,P068,2025-10-19,3,5.0,Site web,PayPal,Livrée,5.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,0.0
CMD00838,C0116,P015,2025-12-15,4,10.0,Boutique,Carte bancaire,Livrée,4.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,99.51
CMD00058,C0058,P025,2026-01-15,1,0.0,Application,Carte bancaire,Livrée,3.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,38.63
CMD01004,C0127,P034,2026-03-28,3,0.0,Site web,Carte bancaire,Livrée,4.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,59.58
CMD00693,C0106,P043,2025-12-23,3,0.0,Boutique,Carte bancaire,Livrée,4.0,nan,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,0.0
CMD00168,C0146,P073,2026-03-29,1,0.0,Site web,Virement,Livrée,5.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,52.27
CMD00137,C0081,P048,2025-04-11,1,20.0,Site web,Carte bancaire,En cours,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,72.17
CMD00223,C0081,P028,2025-03-04,8,10.0,Marketplace,Carte bancaire,Livrée,4.0,Retard livraison,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,208.97
CMD00384,C0051,P034,2025-06-24,1,15.0,Boutique,Carte bancaire,En cours,4.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,53.07
CMD00457,C0048,P041,2025-03-02,1,15.0,Site web,Carte bancaire,Livrée,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,3496.25
CMD00967,C0017,P064,2026-02-25,3,5.0,Application,Carte bancaire,Livrée,4.0,Bon rapport qualité prix,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,32.52
CMD00707,C0097,P048,2026-01-05,1,25.0,Application,Carte bancaire,Livrée,4.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,63.94
CMD01038,C0013,P062,2025-08-14,4,10.0,Marketplace,PayPal,Annulée,4.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,125.87
CMD00647,C0099,P041,2025-11-14,10,10.0,Site web,Carte bancaire,Livrée,3.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,4058.07
CMD00490,C0109,P049,2026-01-13,1,5.0,Marketplace,PayPal,Retournée,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,32.49
CMD00173,C0088,P065,2025-10-18,1,10.0,Site web,Carte bancaire,Livrée,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,85.13
CMD00178,C0047,P039,2025-03-09,6,0.0,Site web,PayPal,Livrée,4.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,83.89
CMD00114,C0132,P013,2025-09-25,1,15.0,Application,PayPal,Livrée,5.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,84.05
CMD00130,C0142,P054,2025-02-03,3,5.0,Site web,Carte bancaire,Livrée,4.0,Bon rapport qualité prix,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,42.0
CMD00530,C0142,P028,2026-03-04,1,15.0,Site web,Virement,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,216.56
CMD00829,C0139,P056,2025-03-23,1,0.0,Site web,PayPal,Livrée,5.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,59.13
CMD00968,C0106,P008,2026-01-06,2,0.0,Marketplace,Carte bancaire,Livrée,5.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,30.93
CMD00764,C0099,P043,2025-03-20,1,25.0,Site web,Carte bancaire,Annulée,4.0,Emballage léger,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,0.0
CMD00465,C0028,P011,2025-12-15,2,0.0,Marketplace,Carte bancaire,Livrée,5.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,38.88
CMD00289,C0083,P066,2026-03-05,2,10.0,Marketplace,Carte bancaire,Livrée,3.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,46.72
CMD00499,C0132,P040,2025-07-12,2,20.0,Site web,Carte bancaire,En cours,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,38.22
CMD00823,C8888,P058,2025-04-23,5,0.0,Site web,Carte cadeau,Retournée,4.0,Retard livraison,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,102.1
CMD00982,C0151,P009,2025-09-10,1,0.0,Site web,Carte bancaire,Annulée,5.0,Produit abîmé,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,43.37
CMD00398,C0089,P044,2026-01-27,1,0.0,Marketplace,Carte bancaire,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,114.59
CMD00453,C0090,P035,2025-10-11,2,0.0,Application,PayPal,Livrée,4.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,-9.68
CMD00857,C0106,P025,2025-03-12,1,5.0,Site web,Carte bancaire,Livrée,3.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,36.49
CMD00888,C0078,P060,2025-11-10,1,10.0,Application,Carte bancaire,Livrée,5.0,Produit abîmé,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,46.03
CMD00757,C0019,P015,2026-03-15,2,10.0,Marketplace,Virement,En cours,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,105.57
CMD00367,C0136,P023,2025-08-05,1,20.0,Site web,Carte bancaire,Livrée,3.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,29.5
CMD00127,C0131,P034,2025-01-18,1,0.0,Site web,Virement,Livrée,3.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,56.46
CMD00970,C0130,P004,2025-11-23,1,30.0,Marketplace,Carte cadeau,Livrée,4.0,Déçu,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,53.25
CMD00655,C0070,P030,2025-05-02,1,0.0,Site web,Carte bancaire,En cours,3.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,40.06
CMD00144,C0122,P017,2025-08-25,2,,Site web,PayPal,Livrée,3.0,Retard livraison,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,17.94
CMD00087,C0065,P014,2025-09-16,1,10.0,Marketplace,PayPal,Livrée,,nan,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,50.24
CMD00581,C7777,P048,2025-07-04,8,0.0,Application,Carte cadeau,Livrée,5.0,Déçu,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,67.12
CMD00904,C0117,P041,2025-01-03,1,15.0,Site web,Carte bancaire,Livrée,5.0,Bon rapport qualité prix,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,4023.67
CMD00246,C0085,P066,2025-03-13,10,20.0,Site web,Carte bancaire,Livrée,3.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,44.37
CMD00075,C0002,P070,2025-10-02,3,0.0,Site web,Carte cadeau,Livrée,3.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,163.2
CMD00650,C0011,P021,2026-01-16,5,10.0,Site web,Carte cadeau,Livrée,2.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,93.11
CMD00687,C0148,P056,2025-04-14,2,5.0,Site web,Carte bancaire,Livrée,4.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,58.72
CMD00979,C0062,P007,2025-03-18,1,25.0,Application,Carte bancaire,En cours,3.0,Retard livraison,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,82.52
CMD00047,C0140,P040,2025-09-05,1,0.0,Marketplace,Carte bancaire,Livrée,4.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,36.9
CMD00288,C0018,P018,2025-01-13,1,0.0,Marketplace,Virement,Livrée,4.0,Bon rapport qualité prix,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,89.17
CMD00378,C0091,P028,2026-02-22,4,0.0,Site web,PayPal,Livrée,2.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,228.93
CMD00758,C0060,P062,2025-11-03,4,20.0,Site web,Carte bancaire,Livrée,4.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,111.57
CMD00344,C0107,P064,2025-06-14,1,0.0,Site web,PayPal,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,32.62
CMD00681,C0125,P028,2025-06-09,1,15.0,Site web,Carte bancaire,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,207.47
CMD00803,C0117,P034,2025-03-26,3,0.0,Site web,Carte bancaire,Livrée,1.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,56.75
CMD00675,C0064,P009,2026-03-27,1,30.0,Site web,Carte bancaire,Livrée,4.0,Emballage léger,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,39.67
CMD00670,C0158,P029,2026-03-15,6,20.0,Application,Carte bancaire,Livrée,5.0,Déçu,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,42.16
CMD00263,C0137,P015,2025-11-04,1,0.0,Marketplace,Virement,Livrée,4.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,92.84
CMD00533,C0101,P017,2025-07-01,4,30.0,Application,PayPal,Livrée,1.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,20.48
CMD00718,C0142,P043,2026-01-31,1,5.0,Site web,Carte bancaire,Livrée,5.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,0.0
CMD00694,C0137,P051,2025-01-28,1,15.0,Boutique,PayPal,Livrée,2.0,Déçu,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,61.6
CMD01009,C0007,P029,2026-01-31,1,5.0,Marketplace,Carte bancaire,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,42.83
CMD00931,C0149,P038,2025-12-17,1,10.0,Site web,Carte bancaire,Livrée,3.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,67.59
CMD00881,C0075,P075,2025-09-30,1,0.0,Site web,Carte bancaire,Retournée,4.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,47.3
CMD00155,C0089,P051,2026-02-22,1,5.0,Site web,Carte bancaire,Livrée,5.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,62.58
CMD00408,C0110,P073,2025-03-16,2,0.0,Application,Carte bancaire,Livrée,5.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,56.68
CMD00379,C0082,P032,2025-01-15,5,0.0,Marketplace,Carte bancaire,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,112.55
CMD00915,C0103,P048,2025-05-25,3,0.0,Marketplace,Carte bancaire,Livrée,,Bon rapport qualité prix,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,74.84
CMD00572,C0145,P018,2025-12-04,4,10.0,Application,PayPal,Livrée,4.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,85.43
CMD00905,C0040,P017,2025-05-24,1,0.0,Marketplace,Virement,Livrée,,nan,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,18.63
CMD00391,C0088,P009,2025-05-26,3,0.0,Marketplace,PayPal,Annulée,4.0,nan,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,43.38
CMD00503,C0044,P064,2025-08-01,3,20.0,Boutique,Carte bancaire,Livrée,3.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,34.68
CMD00437,C0025,P055,2025-09-24,3,0.0,Site web,Carte bancaire,Annulée,,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,66.54
CMD00225,C0046,P001,2025-06-22,1,0.0,Site web,Carte bancaire,Livrée,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,124.37
CMD00510,C0003,P001,2026-03-24,6,10.0,Site web,Carte bancaire,Livrée,3.0,Bon rapport qualité prix,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,130.27
CMD00709,C0012,P026,2025-09-05,4,10.0,Boutique,Carte bancaire,Livrée,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,122.85
CMD00110,C0148,P061,2026-03-04,8,5.0,Marketplace,Virement,Livrée,3.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,15.99
CMD00601,C0156,P054,2025-11-03,1,,Site web,Carte cadeau,Livrée,5.0,Emballage léger,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,37.31
CMD00609,C0058,P048,2025-03-08,2,5.0,Application,Carte bancaire,Livrée,3.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,66.52
CMD00254,C0159,P001,2026-03-15,1,20.0,Site web,Carte bancaire,Livrée,3.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,124.69
CMD00214,C0110,P041,2025-11-28,8,0.0,Boutique,PayPal,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,4126.41
CMD00321,C0063,P042,2025-08-22,1,15.0,Application,PayPal,Livrée,4.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,38.43
CMD00993,C0034,P050,2025-02-23,1,,Boutique,PayPal,En cours,4.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,44.16
CMD00108,C0119,P021,2025-11-23,1,0.0,Site web,Carte bancaire,Livrée,3.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,79.5
CMD00677,C0082,P032,2025-05-17,8,5.0,Site web,Carte bancaire,Livrée,5.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,91.54
CMD00063,C0109,P044,2025-12-15,10,0.0,Application,Carte bancaire,Annulée,5.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,110.25
CMD00752,C0033,P069,2026-03-23,1,0.0,Application,PayPal,Livrée,5.0,Emballage léger,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,38.19
CMD00154,C0120,P047,2025-12-06,1,0.0,Application,Carte bancaire,Livrée,4.0,Bon rapport qualité prix,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,36.1
CMD00744,C0036,P009,2025-05-22,1,10.0,Site web,Carte cadeau,Annulée,4.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,43.98
CMD00064,C0128,P016,2026-03-15,1,0.0,Marketplace,Virement,Livrée,3.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,101.86
CMD00101,C0084,P051,2025-11-19,1,,Application,Carte bancaire,Livrée,4.0,Retard livraison,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,64.17
CMD00209,C0070,P008,2025-04-30,1,0.0,Site web,Carte bancaire,En cours,5.0,Déçu,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,33.01
CMD00406,C0083,P006,2026-01-13,2,0.0,Marketplace,Carte bancaire,Livrée,5.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,39.34
CMD00049,C0153,P061,2025-09-01,2,30.0,Site web,Virement,Livrée,2.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,15.25
CMD00654,C0095,P063,2025-01-08,1,0.0,Site web,Carte bancaire,Livrée,5.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,23.37
CMD00481,C0091,P055,2025-05-03,1,0.0,Site web,Carte bancaire,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,59.46
CMD00270,C0138,P003,2025-04-30,3,10.0,Site web,Carte bancaire,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,56.15
CMD00537,C0114,P074,2025-08-31,2,25.0,Site web,PayPal,Livrée,5.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,46.22
CMD00003,C0011,P060,2025-02-28,2,0.0,Site web,Carte bancaire,Livrée,5.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,49.25
CMD00273,C0118,P017,2026-03-29,2,30.0,Marketplace,Carte bancaire,Livrée,4.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,19.0
CMD00884,C0072,P018,2025-07-05,1,5.0,Site web,Carte cadeau,Livrée,4.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,93.72
CMD00876,C0069,P001,2025-02-28,3,20.0,Application,Carte bancaire,Livrée,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,122.2
CMD00875,C0075,P016,2026-02-11,2,,Application,Carte bancaire,En cours,1.0,Déçu,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,121.37
CMD00373,C0124,P059,2025-03-18,1,0.0,Site web,PayPal,Livrée,3.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,58.18
CMD00559,C0127,P006,2025-12-07,3,15.0,Site web,Carte bancaire,Livrée,4.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,37.59
CMD00769,C0116,P024,2025-04-30,3,10.0,Site web,Carte bancaire,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,75.64
CMD00296,C0111,P059,2025-11-13,2,0.0,Site web,Carte bancaire,Livrée,4.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,57.65
CMD00743,C0025,P033,2026-01-23,1,0.0,Site web,Carte bancaire,Retournée,,Emballage léger,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,67.5
CMD00604,C0154,P001,2025-05-21,1,0.0,Site web,Carte bancaire,Livrée,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,131.27
CMD00220,C0152,P005,2026-02-05,1,0.0,Boutique,PayPal,Livrée,5.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,17.62
CMD00376,C0139,P004,2025-06-17,3,25.0,Site web,Carte bancaire,Livrée,3.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,51.02
CMD00686,C0017,P040,2025-01-31,2,5.0,Application,Carte bancaire,Livrée,2.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,38.9
CMD00085,C0101,P069,2026-03-01,1,0.0,Application,Carte bancaire,Livrée,5.0,Emballage léger,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,35.04
CMD00278,C0077,P006,2026-02-19,5,10.0,Site web,Virement,Livrée,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,36.0
CMD00482,C0067,P059,2025-04-02,8,25.0,Site web,Carte bancaire,Livrée,4.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,57.54
CMD00320,C0041,P054,2026-02-20,6,10.0,Site web,Virement,Retournée,4.0,Bon rapport qualité prix,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,35.82
CMD00781,C0015,P075,2025-06-12,10,5.0,Site web,Carte bancaire,Livrée,4.0,Produit conforme,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,46.29
CMD00852,C0038,P047,2026-02-23,1,10.0,Site web,Carte bancaire,Livrée,5.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,34.6
CMD00714,C0017,P009,2025-08-27,1,0.0,Application,Carte bancaire,Livrée,,Déçu,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,40.73
CMD00895,C0029,P046,2026-03-06,3,20.0,Site web,PayPal,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,47.23
CMD00466,C0119,P039,2025-04-05,2,0.0,Site web,Carte bancaire,En cours,3.0,Livraison rapide,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,76.54
CMD00568,C0148,P070,2025-02-07,1,,Site web,PayPal,Retournée,5.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,140.12
CMD00922,C0014,P065,2026-03-16,3,15.0,Boutique,Virement,Livrée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,89.03
CMD00847,C0009,P071,2026-02-12,1,,Site web,Carte bancaire,Annulée,4.0,Très satisfait,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,52.73
CMD01005,C0044,P031,2025-08-17,1,10.0,Site web,Carte bancaire,Annulée,5.0,RAS,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,0.0
CMD00909,C0156,P016,2025-08-08,1,5.0,Marketplace,PayPal,Annulée,4.0,Bon rapport qualité prix,2026-01-05 09:00:00,2026-01-05 09:00:00,EUR,116.09
